Prompt,Completion
Orange & Bergamot: Icon,"What will I learn
elcome to the Orange & Bergamot Campaign.

 

Throughout this module you will discover the new editions to the Orange & Bergamot collection.

 

We will revisit the entire collection giving you an insight into the inspiration behind the collection and how you can use FLOW to really WOW! your customer.

 

So what will you learn?

Meet the Perfumer
Fragrance Inspiration
First Impressions
Last Impressions
Eliminating the Ouches
Focus on the WOW!
 

Please remember, when putting all your knowledge into practise you follow the recommendations regarding Covid-19 set out in the Retail Operations Guidleines and FLOW - Adapting our Philosophy documents.

 

 

Let's get started....

London Via Seville - Orange & Bergamot

Naranja orbs light winding calles like fragrant lanterns. A joyful throng of revellers celebrate under the arcs of the vibrant bitter orange trees. Sparkling petitgrain lingers verdant in the percussive Flamenco- punctuated air. Enliven your soul with energising luminous intensity. 

Meet the Perfumer

Beverly’s olfactory credentials are world-class. Her stellar career has spanned over forty years and she is one of the most renowned female noses in the industry.

 

Hugely fascinated by nature, she draws much of her creative inspiration from the colour, light and aromas of the landscape around her. Food is also a strong passion point for Beverly; linking a Perfumer’s knowledge of fragrant notes to a Chef’s ability to balance flavours.

 

She sees perfumery as an emotional process, imbuing all her creations with an element of individuality and humanity. Ultimately she believes the key to powerful perfumery is personal connection. And each of her fragrances reflect a little part of herself.

What was the inspiration behind Orange & Bergamot?

“Orange and bergamot is a celebration of joy and energy. I wanted to capture blooming orange flowers and ylang-ylang and let their notes shine bright. Petitgrain and neroli fuse with the strong floral middle notes to enhance this delightful brightness.”

-  Beverley Bayne, Master Perfumer 

Orange & Bergamot - Limited Edition

This tactile  packaging is a visual homage to the beautiful Sevillian Orange Tree - the true inspiration behind our iconic collection.  The bright flashes of orange are complemented by shimmering silver leaves and branches. 

 

The gentle movement of the  silver leaves and branches that adorn our Bath & Shower Gel, Body Lotion, Hand Wash, Hand Lotion and selected gift sets, showcases the Orange Tree in all its vibrant beauty.  

 

This luxurious embelleshment is sure to WOW! your customers and provide the ulitimate indulgent treat.

Orange & Bergamot - First Impressions

Orange & Bergamot is an elegant ode to the Orange Tree. This enlivening Collection features products in each of our categories.  

 

Click NEXT to discover how to create a great First Impression with our Orange & Bergamot Collection. 

hat are your scent memories?

Now you have discovered our full Orange & Bergamot Collection, lets have a think about what fragrance memories Orange & Bergamot evokes for you. Consider the following:

 

Makes me think of...
Smells like...
Reminds me of...
Takes me to...
 

Please share your story in the box and discover your colleagues scent memories"
"Lily & Magnolia Blossom",Lily & Magnolia Blossom - First Impressions
Hand Sanitisers,"What will I learn
Welcome to the Hand Sanitiser Campaign.

 

Throughout this module you will discover our new innovative Hand Sanitisers. 

 

We will discover our new Hand Sanitisers and complementing Hand Care Ritual as well as the benefits and features of our new collection.

 

So what will you learn?

Inspiration behind the Collections
First Impressions
Last Impressions
Eliminating the Ouches
Focus on the WOW!
 

Please remember, when putting all of your knowledge into practise that you follow the recommendations regarding Covid-19 set out in the Retail Operations Guidelines and FLOW - Adapting our Philosophy documents.

 

 

Let's get started....

 

What was the inspiration behind our Hand Sanitisers?

At Molton Brown, we have proud roots in consciously caring for the world around us. We believe that luxury and sustainability go hand-in-hand; we’re devoted to doing good while making you feel good.

 

Care has always been at the heart of everything we do, which is why we have created a collection of Hand Sanitisers which kill 99.9% of bacteria and viruses. 

 

Beautifully scented, our non-sticky, non-drying Sanitiser gels come in a handy 100ml size in three of our iconic fragrances - perfect for on the go cleansing. 

 

Click NEXT to discover more...

Hand Sanitisers - First Impressions

Our Hand Sanitisers are an extension to our sensorial Hand Care Ritual. This innovative collection features:

 

Orange & Bergamot
Coastal Cypress & Sea Fennel
Delicious Rhubarb & Rose
 

Click NEXT to discover how to create a great First Impression with our Hand Sanitiser Collection. 

Hand Sanitisers - First ImpressionsHand Sanitisers - Last Impressions

Leaving our customers with a great Last Impression is essential. Dont forget...the last thing you do for a customer is the first thing they remember!

 

Let's discover how we can gain agreement with our customers and give them a reason to return by considering the following:

 

Sensorial Experience
Data Capture
Sampling
Closing Statements
 

Click NEXT to discover how to create a great Last Impression with our Hand Sanitisers Collection. 

Hand Sanitisers - Last Impressions


Hand Sanitisers - Eliminating the Ouches

To provide our customers with the best possible experience we need to feel confident to Eliminate any Ouches we may encounter. 

 

We therefore need to ensure we are meeting our customers needs by taking a look at the following skills:

 

Recommending our Hand Sanitisers
Overcoming Objections
 

Click NEXT to discover how to Eliminate the Ouches with our Hand Sanitisers Collection. 

Hand Sanitisers - Eliminating the Ouches

Hand Sanitisers - Focus on the WOW!

At Molton Brown we always strive to go above and beyond our customers expectations, and really WOW! them with an experience that is extra special. 

 

There are many ways we can WOW! our customers, but let's take a look at the following:

 

Our Icons
Benefits & Features
 

Click NEXT to discover how to really WOW! your customer with our Hand Sanitiser Collections. 

Hand Sanitisers - Focus on the WOW!
Next Steps

You have now completed the Hand Sanitisers Campaign!

 

You now have the knowledge to deliver FLOW with our full Hand Sanitisers Collection. 

 

Remember FLOW is our customer experience philsophy that is the continuous thread through everything we do to deliver a fantastic service experience. 

 

Why not continue to think about how you can bring FLOW to life in your store with our Hand Sanitisers Collection?

hank you for taking this course!

We would love to know how you feel about what you have learned.

You can help us improve our training offer by answering a few simple questions."
Christmas at Molton Brown,
"Hand Wash Refills","Hand Wash Refills - Eliminating the Ouches

To provide our customers with the best possible experience we need to feel confident to Eliminate any Ouches we may encounter. 

 

We therefore need to ensure we are meeting our customers needs by taking a look at the following skills:

 

Recommending our Hand Wash Refills
Cross and Link Selling
Overcoming Objections
 

Click NEXT to discover how to Eliminate the Ouches with our Hand Wash Refills Collection. 

Hand Wash Refills - Eliminating the Ouches

Ingredient List

Our new luxury glass bottles are designed to be used time and time again. They can be refilled with one of three iconic fragrances:

Orange & Bergamot
Coastal Cypress & Sea Fennel
Delicious Rhubarb & Rose


As the bottles can be refilled each time with a different fragrance, the ingredients will be listed on a removable sticker on the base of the bottle. 

Protecting Our Pouches

To provide our customers with the best possible experience when purchasing our Hand Wash Refill Pouches, we recommend that all pouches are to be inserted into a Duo Bag, separate from any other Molton Brown products that have been purchased.

 

This not only provides ultimate protection of the pouch when being transported but also ensures that each Hand Wash Refill Pouch is in premium luxury condition when the customer chooses to decant their chosen hand wash.

Hand Wash Refills - Focus on the WOW!

At Molton Brown we always strive to go above and beyond our customers expectations, and really WOW! them with an experience that is extra special. 

 

There are many ways we can WOW! our customers, but let's take a look at the following:

 

Our Icons
Benefits & Features
 

Click NEXT to discover how to really WOW! your customer with our Hand Wash Refills Collection. 

Hand Refill - Focus on the WOW!

Next Steps

You have now completed the Hand Wash Refills Campaign!

 

You have the knowledge to deliver FLOW with our full Hand Wash Refills Collection. 

 

Remember FLOW is our customer experience philsophy that is the continuous thread through everything we do to deliver a fantastic service experience. 

 

Why not continue to think about how you can bring FLOW to life in your store with our Hand Wash Refills Collection?

Thank you for taking this course!

We would love to know how you feel about what you have learned.

You can help us improve our training offer by answering a few simple questions.

"
Seabourn Collection,"What will I Learn?

Welcome to the Seabourn Campaign!

 

Throughout this module you will rediscover our Limited Edition Seabourn Collection. 

 

We will revisit both fragrance collections giving you an insight into the inspiration behind the collections and how you can use FLOW to really WOW! your customer.

 

So what will you learn?

 

Meet the Perfumer
Fragrance Inspiration
First Impressions
Last Impressions
Eliminating the Ouches
Focus on the WOW!


Availability of our Seabourn Collection

Our Limited Edition Seabourn Collection will be available in the following 6 stores:

 

Manchester

Leeds

Glasgow

Edinburgh

Windsor

Bath
 

Our Seabourn Collection will also be available to purchase online at www.moltonbrown.co.uk

London Via The High Seas -

Step aboard on a quest to discover the world’s hidden treasures.

 

Luxurious. Seafaring. Immersive.

Perfumer - Philippe Bousseton

Philippe Bousseton first came into contact with the world of fragrance when he was only five. His maternal grandfather was a perfumer. Attracted to working in perfume, he began to study chemistry. In 1971, he was one of the five students at ISIPCA, a perfumery school that had just opened. The school year was only just over when he joined Dana.

 

When the company closed in 1979, he went to work for Oril Fontarome.  It was in 1982 that the doors really opened for him when he joined Takasago, a new name in the European world of fragrances, with Michel Almairac and Pierre Bourdon at the helm on the creative side of the business.

 

It was a fabulous period for Philippe Bousseton, who spent his time juggling between toiletries and perfumes. He got so used to it that it actually became his philosophy of life, one in which he finds pride, humility and joy.

What was the inspiration behind Immersive Samphire & Eucalyptus?

Our first fragrance brings together two Seabourn ports which are over 5000 miles apart.

 

The first stop – the French Atlantic coast. This beautiful coastline is home to a long seafaring tradition and gives us our first ingredient, Samphire.

 

Our second stop – China.

The coastal areas of Beijing gives us our second ingredient, Eucalyptus.

Perfumer - Heidrun Harder

We have partnered with Heidrun Harder to create our Inspiring Basil & Vetiver Collection. Heidrun is a Master P

What was the inspiration behind Inspiring Basil & Vetiver?


The Seabourn Collection - First Impressions

Our Seabourn Collection is a revitalising and sophisticated rendition of the Seabourn experience, with its marine notes and uplifting aromatic aromas. 

 

Click NEXT to discover how to create a great First Impression with our Seabourn Collection.

Seabourn - First Impressions

The Seabourn Collection - Last Impressions

Leaving our customers with a great Last Impression is essential. Dont forget...the last thing you do for a customer is the first thing they remember!

 

Let's discover how we provide our customer with fantastic till point service by considering our role in Data Capture.

 

Click NEXT to discover how to create a great Last Impression with our Seabourn Collection.

Seabourn - Last Impressions
The Seabourn Collection - Eliminating the Ouches

To provide our customers with the best possible experience we need to feel confident to Eliminate any Ouches we may encounter. 

 

We therefore need to ensure we are meeting our customers needs by taking a look at the following skills:

 

Recommending The Seabourn Collection
Cross and Link Selling
Overcoming Objections
 

Click NEXT to discover how to Eliminate the Ouches with our Seabourn Collection. 

Seabourn - Eliminating the Ouches
The Seabourn Collection - Focus on the WOW!

At Molton Brown we always strive to go above and beyond our customers expectations, and really WOW them with an experience that is extra special. 

 

There are many ways we can WOW our customers, but let's take a look at the following:

 

The Seabourn Collection Basket Building
The Seabourn Collection Moodboard
Fragrance Deconstructed 
Meet the Illustrator
 

Click NEXT to discover how to really WOW your customer with our Seabourn Collection. 

Seabourn - Focus on the WOW
Next Steps

You have now completed the Seabourn  Campaign!

 

You have the knowledge to deliver FLOW with our Seabourn Collection. 

 

Remember FLOW is our customer experience philosophy that is the continuous thread through everything we do to deliver a fantastic service experience. 

 

Why not continue to think about how you can bring FLOW to life in your store with our Seabourn Collections?

"
"Flora Luminare","Flora Luminare - Last Impressions

Flora Luminare - Eliminating the Ouches

To provide our customers with the best possible experience we need to feel confident to Eliminate any Ouches we may encounter. 

 

We therefore need to ensure we are meeting our customers needs by taking a look at the following skills:

 

Recommending Flora Luminare
Cross and Link Selling
Overcoming Objections
 

Click NEXT to discover how to Eliminate the Ouches with our Flora Luminare Collection. 

Flora Luminare - Eliminating the Ouches

Flora Luminare - Focus on the WOW!

At Molton Brown we always strive to go above and beyond our customers expectations, and really WOW! them with an experience that is extra special. 

 

There are many ways we can WOW! our customers, but let's take a look at the following:

 

Ingredientology
Sustainable Ingredients
Benefits & Features
Shopping by Colour
 

Click NEXT to discover how to really WOW! your customer with our Flora Luminare Collection. 

Flora Luminare - Focus on the WOW
What's your favourite 'fun fact' about our Flora Luminare Collection?

Tell us what really WOW's you about our Flora Luminare Collection!

 

Share with your colleagues and be inspired by their fun facts too..."
"FLOW - Adapting Our Philosophy
","The Consultant
Conversation Starters

With a limited amount of customers in our stores and a queue forming outside it has never been more important to use Conversation Starters.

 

Starting a conversation by asking questions to establish our customers needs will help to put them at ease. They can see that we can offer a quick and efficient service that is tailored to their needs, always ensuring that they are safe within our environment.

 

Click NEXT to discover more...

Conversation Starters
Customer Behaviours

Customer Behaviours

 

By discovering the customers needs with our Key Opening Questions we will be able to identify the customer behaviour.

 

EXAMPLES:

“What brings you in to Molton Brown today?""
“Who are you shopping for today?""
 

Let’s discover the type of assistance each customer may require.

 

Click NEXT to find out more...

Customer Behaviours
How To Eliminate The Ouches

Eliminating the Ouches helps us provide a seamless service to our customers whilst in store.

 

Customers will be looking for a fast and efficient service, and so we need to be equipped with the skills and knowledge to deliver this.

 

We have reinterpreted how you can utilise Body Language when communicating with your customers.

 

We have also revisited Questioning Skills with a focus on the use of the Universal Profiler Questions.

 

Click NEXT to discover more...
Body Language, Tone & Words

 

BODY LANGUAGE, TONE AND WORDS
 
As we know from FLOW, communication comes across in a number of ways. Body Language, Tone and Words are all important when communicating.

 

There is a concept concerning the communication of emotions and how others percieve what we are saying.

 

The concept states that 55% of perception is through our Body Language, 38% through our Tone of Voice and only 7% of the Words we actually use!

 

Lets explore how we can adapt our approach to communicating through these methods.

 

Click NEXT to discover more...
Body Language, Tone & Words

Universal Profiler Questions


Universal Profiler Questions
Testing Products

TESTING PRODUCTS

 

When in store, customers may wish to experience products for themselves.

 

Encourage your customers to experience our collections by using the testers available and try to avoid contact with shelved products.

 

If customers do touch products within your bays, please refer to the Retail Operations Guidelines for cleaning instructions.

 

Click NEXT to discover more...

Testing Products

Handling Objections


Focusing On The WOW

FOCUSING ON THE WOW!

 

Whilst we wont be offering any fully immersive Service Signatures to our customers for the foreseeable future, we will be instead offering a personally curated ‘touchless’ in store experience.

 

At this time, customers will have different priorities for their store visit, and therefore we need to adapt how we WOW! them.

 

 

Click NEXT to discover more...

Curated Experiences

CURATED EXPERIENCES

 

We want to provide our customers with an inviting and seamless shopping experience which exceeds their expectations. In the current climate we want to set customers at ease by first understanding their priorities during their visit.

 

Let’s discover the fours ways in which we can Focus on the WOW! in store.

 

Click NEXT to continue...

 

A Curated Experience

Fragrance Finder

FRAGRANCE FINDER

 

Using the Fragrance Finder is a sure way to WOW! your customers and guide them to discover their signature scent.

 

However, with social distancing measures in place we need to adapt the way in which we interact with the customer.

 

Click NEXT to discover more...

Fragrance Finder

Introducing Collections

INTRODUCING COLLECTIONS

 

Now that your customer has identified their signature scent using the Fragrance Finder, lets take a look at how we can introduce this fragrance collection to our customers whilst still maintaining social distancing measures.

 

Click NEXT to discover more...

Introducing Collections
In This Together
IN THIS TOGETHER

 

Since 1971, we have placed a duty of care at the heart of everything we do. In the face of this global pandemic, we have introduced several ways to help those most vulnerable.

 

To find out more about one of our largest donation programmes, Beauty Bank click HERE

 

Click NEXT to discover more...

In This Together

Delivering a Great Last Impression

LAST IMPRESSIONS

 

Offering our customers a fast, efficient and luxury till point service is essential. Remember the last thing you do is the first thing the customer will remember!

 

Having walked your customer through the in-store journey, it is now time to create that fantastic Last Impression.

 

Click NEXT to discover more...

Data Capture

DATA CAPTURE

 

Keeping connected has become more important than ever during this time, and so this is a great opportunity to introduce our Guest List to customers when they visit our stores.

 

Click NEXT to discover more...

Reason to Return

REASON TO RETURN

 

As always we want to give our customers a reason to return to us in store.

 

As we won't be hosting any events or providing Service Signatures we need to consider that our customers will be returning for four reasons.

 

Click NEXT to discover more...

Last Impressions

What's Next?

Congratulations!

 

Your have now completed 

FLOW - Adapting our Philosophy

 

 

Coming soon to the Digital Learning Academy......

 

""Molton Brown Moments at Home""

"
Labdanum Dusk,"Description
Discover our Labdanum Dusk Collection"
Data Capture,Data Capture - First Impressions
Understanding Sustainability,Introducing Sustainability
Sustainability - Places,"Respect Planet Boundaries

Ensuring that our own operations are climate friendly and fully circular to Respect our Planet Boundaries.

 

Let's hear more about our Places focus from  the following people.

 

Guido Kirchhoff - Vice President, Supply Chain

 

Katie Ellwood-Smith - Global Director, Brand Stategy

 


"
Sustainability - Product,"Invent Luxury Refill Solutions

Invent Luxury Refillable Solutions

As our sustainability journey continues, we are continuously striving to invent innovative new ways to package our product in refillable formats. 

 

From a packaging perspective we will be focusing on not just Reducing but Reusing.

Invent Luxury Refillable Solutions - Our Commitment

What is our commitment to Invent Luxury Refillable Solutions?

 

Develop a Bottle for Life across our core ranges from 2023

Invent Luxury Refillable Solutions

Care is at the heart of everything we do, which is why we have in place the following:

 

We created Refillable bottles for our 100ml Eaux de Parfum and Eaux de Toilette in 2019
For 2020 we have introduced Hand Wash glass bottles and Refill Pouches in a choice of three fragrances.
To support our sustainability mission a new Signature

Invent Luxury Refillable Solutions - How?


Invent Luxury Refill Solutions

Pioneer Packaging Reduction

At Molton Brown we strive to minimise  packaging shipped between our suppliers, distributors and our customers.

 

We are always mindful of waste.

 

From a packaging perspective we must always consider how to Reduce, Reuse & Recycle. 

Pioneer Packaging Reduction - Our Commitment

What is our commitment to Pioneer Packaging Reduction?

 

Launch the ‘Return. Recycle. Reward.’ scheme to recycle post-consumer-use bottles from our stores and Hotel's in 2020

Reduce existing packaging e.g. 50% Recycled PET, E-com packaging, and Hotel Accessories from January 2020 onwards

Pioneer Packaging Reduction

Care is at the heart of everything we do, which is why we have in place the following:

 

All our core bottles are made from recyclable PET material and 93% of our packaging is reusable, including paper bags and gift boxes

We’ve reduced the amount of materials we use in our bags by 12% since 2020, and once the handles are removed, our bags are fully recyclable

 

To discover more click HERE to access the Product section of the 'Your Questions Answered' document. 

Pioneer Packaging Reduction - How?


Pioneer Packaging Reduction

Champion Sustainable Natural Ingredients

Our fragrances are created with a combination of natural and synthetic ingredients. We are always looking for fragrances and ingredients from sustainable sources. 

 

When innovating our formulations we always consider using responsibly sourced natural ingredients.

Champion Sustainable Natural Ingredients - Our Commitment


What is our commitment to Championing Sustainable Natural Ingredients in 2020?

 

Pioneer Hydrophonics (The process of growing plants in sand, gravel, or liquid, with added nutrients but without soil.) of natural ingredients, starting with our 2021 Hair Care re-launch

Investigate more localised sourcing as well as upcycling by-product or waste to procure naturals

Replace surfactants with more sustainable Bio IOS (where relevant) by 2023

 Champion Sustainable Natural Ingredients

Care is at the heart of everything we do, which is why the following points are fully considered:

 

The palm oil-derived ingredient we use most often has been RSPO-certified since 2019. We will be fully RSPO-certified by 2023

We were one of the first brands in the UK to list ingredients. We already fully disclose our ingredients but will go one step further by explaining 100% of our ingredients by 2023



To discover more click HERE to access the Product section of the 'Your Questions Answered' document. 

Champion Sustainable Natural Ingredients - How?

To achieve our commitments for Championing Sustainable Natural Ingredients we are focusing on the following topics:

 

Experiment: Lead the way in using natural ingredients more sustainably
Source natural ingredients through upcycling/by product/ waste (where possible)
Aim to achieve 100% Roundtable on Sustainable Palm Oil (RSPO)
 

Click NEXT to discover more...

Champion Sustainable Natural Ingredients

Committed to Cruelty Free Values

Since the 1970's we have pioneered cruelty free values. Molton Brown never has and never will test on animals.

 

We closely examine all ingredients and products before they go on the market to ensure that they meet the safety expectations listed below: 

 

PCPC Consumer Commitment Code
US FDA & EU Regulations 

Committed to Cruelty Free Values - Our Commitment

What is our commitment to Cruelty Free Values in 2020?

 

All our products will be 100% vegan by 2022.

Committed to Cruelty Free Values

Care is at the heart of everything we do, which is why we have in place the following:

 

We were one of the first British brands to take a stand against animal cruelty back in the 1970s;

100% of our products are vegetarian and cruelty-free; we have been certified with the Leaping Bunny since 2012

We are committed to no animal testing anywhere in the world, including product registration e.g. China

Committed to Cruelty Free Values - How?
Committed to Cruelty Free Values

What Have I Learnt?

Congratulations!

 

You have now completed ""Product"" within the ESG learning channel.

 
Thank you for taking this course!

We would love to know how you feel about what you have learned.

You can help us improve our training offer by answering a few simple questions.


 

"
Sustainability - People,"People
Empower our People

Empowering our People’s potential means that we are investing in our employees, inspiring them to bring the best version of themselves to work and realise their potential.

 

At Kao we prioritise the support, development and wellbeing of our employees to thrive in their roles and reach the career aspirations.

 Empower our People - Our Commitment

What is our commitment for Empowering our People in 2020?

 

To establish a Diversity & Inclusion Taskforce
Launch the Kao Academy (2020) to feature a Diversity and Inclusion focused training module (2021)
 
Empower our People

Care is at the heart of everything we do, which is why we have the following in place:

A wide variety of training sessions for all levels e.g. #ThinkBeyond  wellbeing program for mental health and resilience , leadership workshops plus career development initiatives e.g. 123 Steps and Talent Model.
Since 2017, we’ve seen positive working trends with a 4% increase of women in the top two quartiles of our business.
 

To discover more click HERE to access the People section of the 'Your Questions Answered' document. 

Empower our People - How?

To achieve our commitments for Empowering our People we are focusing on the following topics:

 

Transparency: Publish clear data on diversity and inclusion at all levels of our organisation – ethnicity, gender, disability, age.
Working Teams: Form internal working teams dedicated to creating a business-wide culture of diversity and inclusion.


Click NEXT to discover more...

Empower Our People
Forge Positive Partnerships

Forging Positive Partnerships is essential across our global business.

 

This means we examine how our business manages relationships with our employees, our suppliers and our customers. 

Forge Positive Partnerships

Care is at the heart of everything we do, which is why we have in place the following policies and guidelines:

 

We have developed our ESG strategy with leading sustainability agency, Futerra.

Partner with Loop to pioneer the logistics of cleaning Bottles for Life by 2020.

 

To discover more click HERE to access the People section of the 'Your Questions Answered' document. 

Forge Positive Partnerships - How?

To achieve our commitments for Forging Positive Partnerships we are focusing collaborations with:

 

Inspiring ESG Initiatives: Work closely alongside ESG experts on specific innovation projects that drive unique sustainable opportunities for us both
Joint Project: Partner with key retailers to support ESG initiatives and promote new sustainable lifestyles together


To find out how we are Forging Positive Partnerships click NEXT 

Forge Great Partnerships

Promote Sustainable Sourcing

Promoting Sustainable Sourcing means we, as a business, continually review how we source our materials, whether they are required for product manufacture or store and office supplies.

Promote Sustainable Sourcing - Our Commitment

What is our commitment for Promoting Sustainable Sourcing in the coming years?

 

By 2022, 100% of our suppliers will be  linked to Sedex (or equivalent)
All suppliers must have an  acceptable and up to date SMETA audit scores.

Promote Sustainable Sourcing

Care is at the heart of everything we do, which is why we have the following in place:

 

Supplier Code of Conduct
SEDEX
Regular Supplier Audit ( SMETA)
 

To discover more click HERE to access the People section of the 'Your Questions Answered' document. 

Promote Sustainable Sourcing - How?

To achieve our commitments for Promoting Sustainable Sourcing we are focusing on the following topics:

 

Code of Conduct: Develop and implement a supplier code of conduct that sets out clear expectations on environmental and social standards.
Sedex: Ensure our suppliers are registered on Sedex (or equivalent) and are audited periodically depending on risk levels.


Click NEXT to discover more...

Promote Ethical Sourcing

Enrich our Manufacturing Facility Community

Our Green Street Manufacturing Facility is  fundemental to our business.

 

We strive to ensure our Manufacturing Facility community are upskilled and ready to face the challenges and opportunities of the future.  

Enrich our Manufacturing Facility Community - Our Commitment

What are our commitments for Enriching our Manufacturing Facility Community in 2020?

 

Upskill our employees so they are ready to explore future challenges such as Industry 4.0 and Digitalisation.

Invest in our facility to fulfil the highest possible GMP (Good Manufacturing Practice) requirements.

Host regular open houses (site visits) for facility employees’ families and the local community to promote our brand in a transparent way.

Enrich our Manufacturing Facility Community

Care is at the heart of everything we do, which is why we have the following in place:

 

UK Charity Committee
Green Street Club
Corporate Activities (Fundraisers & Sports Days)
We created an in-house micro-biological lab in 2019, independent from external labs

 

To discover more click HERE to access the People section of the 'Your Questions Answered' document. 

Enrich our Manufacturing Facility Community - How?

To achieve our commitments for Enriching our Manufacturing Facility Community we are focusing on the following topics:

 

Local Community: Elsenham has been the home of our facility since 1984 – we will continue to provide local employment and nurture our people’s skills
 

 Click NEXT to discover more...

What Have I Learnt?

Congratulations!

 

You have now completed ""People"" within the ESG learning channel.

 Thank you for taking this course!

We would love to know how you feel about what you have learned.

You can help us improve our training offer by answering a few simple questions."
Milk Musk,"Maia Lernout - Senior Perfumer

What was the inspiration behind the Milk Musk Collection?

 An olfactive ode to the loving bond between Maïa and her young son, Milk Musk captures their precious moments together discovering Paris’s artistic treasures. Strolling along the Musée de l’Orangerie where their combined adoration of Monet’s ‘Water Lilies’ murals evoke a serene oasis, to their restful treat of traditional Japanese patisseries at tea salon Toraya, close to the elegant gardens of Les Tuileries. This fragrance encapsulates memories of intimate time spent connecting in a more hushed, nurturing side of the illustrious French capital.

Milk Musk - First Impressions

An olfactory embrace, this pure, gentle and comforting collection features:

 

Eau de Parfum
Eau de Toilette
Bath & Shower Gel
Body Lotion
Single Wick Candle
 

 

Click NEXT to discover how to create a great First Impression with our Milk Musk collection.

Milk Musk - First Impressions

Milk Musk - Limited Edition Packaging

This tactile  packaging is a visual homage to a comforting touch. The butter soft paper in an off white colour evokes purity and warmth.

 

The movement of the  golden ribbon that adorns our packaging, symbolises the vibrations and feeling of a powerful and soothing touch. 



Our limited edition single wick, ceramic candle is encircled with a 22 carat gold ribbon design.

 

This luxurious embellIshment is sure to WOW! your customers and provide the ultimate indulgent treat.

Scent Memories

Now you have been formally introduced to our Milk Musk Collection, lets have a think about what fragrance memories Milk Musk evokes for you. Consider the following:

 

Makes me think of...
Smells like...
Reminds me of...
Takes me to...
 

Please share your story in the box. Why not discover your colleagues scent memories?

"
"Jasmine & Sun Rose Eau de Parfum","Jasmine and Sun Rose - Focus on the WOW!

Next Steps

You have now completed the Jasmine & Sun Rose Eau de Parfum Campaign!

 

You have the knowledge to deliver FLOW with our full Jasmine & Sun Rose Collection. 

 

Remember FLOW is our customer experience philosophy that is the continuous thread through everything we do to deliver a fantastic service experience. 

 

Why not continue to think about how you can bring FLOW to life in your store with our Jasmine & Sun Rose Collection?"
Sustainability,
